PRODUCT,DRAW NUMBER,SEQUENCE NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4,NUMBER DRAWN 5,NUMBER DRAWN 6,NUMBER DRAWN 7,BONUS NUMBER
LOTTO MAX,23,6,26/02/2010,8,26,29,35,42,45,47,0
LOTTO MAX,23,7,26/02/2010,3,14,16,17,35,40,44,0
LOTTO MAX,23,8,26/02/2010,6,20,21,22,24,26,35,0
LOTTO MAX,23,9,26/02/2010,1,2,11,16,29,43,47,0
LOTTO MAX,23,10,26/02/2010,14,15,17,18,24,26,39,0
LOTTO MAX,24,0,05/03/2010,5,8,18,22,32,39,45,19
LOTTO MAX,25,0,12/03/2010,17,18,19,21,32,40,49,6
LOTTO MAX,26,0,19/03/2010,1,3,6,34,37,42,45,27
LOTTO MAX,27,0,26/03/2010,3,11,12,16,34,36,37,18
LOTTO MAX,28,0,02/04/2010,4,9,12,15,28,29,43,17
LOTTO MAX,29,0,09/04/2010,11,16,29,30,31,33,42,24
LOTTO MAX,30,0,16/04/2010,6,7,17,20,32,44,49,46
LOTTO MAX,31,0,23/04/2010,8,11,16,21,24,28,41,37
LOTTO MAX,32,0,30/04/2010,1,3,4,5,16,32,33,41
LOTTO MAX,33,0,07/05/2010,3,6,10,14,19,25,33,1
LOTTO MAX,34,0,14/05/2010,7,17,19,23,31,36,41,1
LOTTO MAX,35,0,21/05/2010,14,16,30,35,36,45,49,10
LOTTO MAX,36,0,28/05/2010,11,18,23,24,27,28,39,1
LOTTO MAX,37,0,04/06/2010,3,18,27,30,33,40,45,31
LOTTO MAX,37,1,04/06/2010,4,14,32,35,38,41,42,0
LOTTO MAX,37,2,04/06/2010,5,6,9,23,25,31,46,0
LOTTO MAX,37,3,04/06/2010,7,19,33,38,41,47,48,0
LOTTO MAX,37,4,04/06/2010,12,17,28,32,33,35,45,0
LOTTO MAX,37,5,04/06/2010,4,6,10,12,19,23,32,0
LOTTO MAX,38,0,11/06/2010,2,7,12,25,29,32,35,26
LOTTO MAX,38,1,11/06/2010,3,8,12,14,19,33,37,0
LOTTO MAX,38,2,11/06/2010,8,15,26,29,35,36,44,0
LOTTO MAX,38,3,11/06/2010,2,9,10,12,17,18,39,0
LOTTO MAX,38,4,11/06/2010,6,11,15,28,29,37,45,0
LOTTO MAX,38,5,11/06/2010,7,15,22,23,30,47,48,0
LOTTO MAX,38,6,11/06/2010,3,8,24,31,35,40,42,0
LOTTO MAX,38,7,11/06/2010,4,18,19,30,41,48,49,0
LOTTO MAX,38,8,11/06/2010,3,13,19,40,44,45,46,0
LOTTO MAX,38,9,11/06/2010,2,3,9,22,25,28,31,0
LOTTO MAX,38,10,11/06/2010,4,10,24,28,33,35,41,0
LOTTO MAX,38,11,11/06/2010,7,16,23,25,27,30,35,0
LOTTO MAX,38,12,11/06/2010,3,12,27,36,39,43,45,0
LOTTO MAX,38,13,11/06/2010,2,9,26,27,31,33,49,0
LOTTO MAX,38,14,11/06/2010,9,10,14,21,30,37,49,0
LOTTO MAX,38,15,11/06/2010,4,5,9,12,31,44,46,0
LOTTO MAX,38,16,11/06/2010,9,11,20,21,22,38,42,0
LOTTO MAX,38,17,11/06/2010,19,28,32,34,36,42,47,0
LOTTO MAX,38,18,11/06/2010,2,5,13,28,36,44,45,0
LOTTO MAX,38,19,11/06/2010,7,21,29,33,42,46,48,0
LOTTO MAX,38,20,11/06/2010,1,6,7,22,31,32,33,0
LOTTO MAX,38,21,11/06/2010,7,10,25,36,41,45,49,0
LOTTO MAX,38,22,11/06/2010,6,19,20,25,39,42,48,0
LOTTO MAX,38,23,11/06/2010,3,10,19,23,24,29,46,0
LOTTO MAX,38,24,11/06/2010,9,13,20,24,38,43,49,0
LOTTO MAX,38,25,11/06/2010,1,2,15,31,35,41,48,0
LOTTO MAX,38,26,11/06/2010,7,24,29,32,37,44,48,0
LOTTO MAX,38,27,11/06/2010,7,20,25,28,31,43,47,0
LOTTO MAX,39,0,18/06/2010,5,6,26,29,34,36,43,49
LOTTO MAX,39,1,18/06/2010,3,8,11,19,25,33,43,0
LOTTO MAX,39,2,18/06/2010,13,25,29,38,39,40,49,0
LOTTO MAX,39,3,18/06/2010,4,9,12,23,41,43,49,0
LOTTO MAX,39,4,18/06/2010,1,5,15,26,41,44,47,0
LOTTO MAX,39,5,18/06/2010,8,12,20,24,31,37,45,0
LOTTO MAX,39,6,18/06/2010,14,22,33,35,36,41,47,0
LOTTO MAX,39,7,18/06/2010,2,6,25,30,39,42,45,0
LOTTO MAX,39,8,18/06/2010,9,12,18,21,30,34,45,0
LOTTO MAX,39,9,18/06/2010,1,2,3,5,14,16,25,0
LOTTO MAX,39,10,18/06/2010,10,23,28,29,37,41,47,0
LOTTO MAX,39,11,18/06/2010,3,12,13,19,24,33,38,0
LOTTO MAX,39,12,18/06/2010,7,11,12,14,17,23,38,0
LOTTO MAX,39,13,18/06/2010,3,4,9,10,16,18,41,0
LOTTO MAX,39,14,18/06/2010,3,8,25,27,34,41,43,0
LOTTO MAX,39,15,18/06/2010,1,4,6,8,28,32,36,0
LOTTO MAX,39,16,18/06/2010,3,4,15,21,24,45,48,0
LOTTO MAX,39,17,18/06/2010,3,28,38,42,43,44,48,0
LOTTO MAX,39,18,18/06/2010,3,6,12,17,26,31,43,0
LOTTO MAX,39,19,18/06/2010,16,24,28,36,39,43,49,0
LOTTO MAX,39,20,18/06/2010,2,4,6,15,22,31,46,0
LOTTO MAX,39,21,18/06/2010,1,3,16,18,32,35,45,0
LOTTO MAX,39,22,18/06/2010,5,6,8,14,25,38,40,0
LOTTO MAX,39,23,18/06/2010,10,16,18,19,28,32,47,0
LOTTO MAX,39,24,18/06/2010,4,5,9,17,31,32,46,0
LOTTO MAX,39,25,18/06/2010,2,5,7,12,24,25,43,0
LOTTO MAX,39,26,18/06/2010,11,13,25,26,29,30,41,0
LOTTO MAX,39,27,18/06/2010,5,13,15,17,29,42,45,0
