"PRODUCT","DRAW NUMBER","DRAW DATE","NUMBER DRAWN 1","NUMBER DRAWN 2","NUMBER DRAWN 3","NUMBER DRAWN 4"
"LOTTO MAX EXTRA",95,"2011-07-15",6,71,86,90
"LOTTO MAX EXTRA",96,"2011-07-22",64,81,87,95
"LOTTO MAX EXTRA",97,"2011-07-29",10,46,77,80
"LOTTO MAX EXTRA",98,"2011-08-05",2,24,51,78
"LOTTO MAX EXTRA",99,"2011-08-12",1,58,66,86
"LOTTO MAX EXTRA",100,"2011-08-19",57,60,65,70
"LOTTO MAX EXTRA",101,"2011-08-26",11,31,85,86
"LOTTO MAX EXTRA",102,"2011-09-02",31,41,68,78
"LOTTO MAX EXTRA",103,"2011-09-09",28,29,30,98
"LOTTO MAX EXTRA",104,"2011-09-16",10,11,48,88
"LOTTO MAX EXTRA",105,"2011-09-23",2,31,63,84
"LOTTO MAX EXTRA",106,"2011-09-30",1,2,55,96
"LOTTO MAX EXTRA",107,"2011-10-07",7,15,18,32
"LOTTO MAX EXTRA",108,"2011-10-14",22,46,53,88
"LOTTO MAX EXTRA",109,"2011-10-21",12,27,39,83
"LOTTO MAX EXTRA",110,"2011-10-28",2,5,19,52
"LOTTO MAX EXTRA",111,"2011-11-04",7,14,29,70
"LOTTO MAX EXTRA",112,"2011-11-11",2,20,74,83
"LOTTO MAX EXTRA",113,"2011-11-18",29,35,46,56
"LOTTO MAX EXTRA",114,"2011-11-25",7,56,73,74
"LOTTO MAX EXTRA",115,"2011-12-02",6,8,87,95
"LOTTO MAX EXTRA",116,"2011-12-09",3,38,50,91
"LOTTO MAX EXTRA",117,"2011-12-16",8,16,30,53
"LOTTO MAX EXTRA",118,"2011-12-23",5,27,67,85
"LOTTO MAX EXTRA",119,"2011-12-30",23,32,39,94
"LOTTO MAX EXTRA",120,"2012-01-06",36,37,76,95
"LOTTO MAX EXTRA",121,"2012-01-13",15,23,33,93
"LOTTO MAX EXTRA",122,"2012-01-20",13,19,62,67
"LOTTO MAX EXTRA",123,"2012-01-27",24,66,87,91
"LOTTO MAX EXTRA",124,"2012-02-03",14,43,52,88
"LOTTO MAX EXTRA",125,"2012-02-10",7,31,35,78
"LOTTO MAX EXTRA",126,"2012-02-17",9,19,45,78
"LOTTO MAX EXTRA",127,"2012-02-24",12,18,93,95
"LOTTO MAX EXTRA",128,"2012-03-02",14,34,47,79
"LOTTO MAX EXTRA",129,"2012-03-09",32,39,53,81
"LOTTO MAX EXTRA",130,"2012-03-16",5,41,88,89
"LOTTO MAX EXTRA",131,"2012-03-23",61,74,76,84
"LOTTO MAX EXTRA",132,"2012-03-30",13,14,63,82
"LOTTO MAX EXTRA",133,"2012-04-06",14,60,83,92
"LOTTO MAX EXTRA",134,"2012-04-13",17,72,80,99
"LOTTO MAX EXTRA",135,"2012-04-20",16,35,44,58
"LOTTO MAX EXTRA",136,"2012-04-27",36,38,69,97
"LOTTO MAX EXTRA",137,"2012-05-04",16,19,26,52
"LOTTO MAX EXTRA",138,"2012-05-11",12,38,60,73
"LOTTO MAX EXTRA",139,"2012-05-18",36,45,65,81
"LOTTO MAX EXTRA",140,"2012-05-25",50,56,88,97
"LOTTO MAX EXTRA",141,"2012-06-01",28,39,57,81
"LOTTO MAX EXTRA",142,"2012-06-08",3,32,87,95
"LOTTO MAX EXTRA",143,"2012-06-15",17,43,49,51
"LOTTO MAX EXTRA",144,"2012-06-22",13,38,61,88
"LOTTO MAX EXTRA",145,"2012-06-29",48,61,74,97
"LOTTO MAX EXTRA",146,"2012-07-06",4,6,63,72
"LOTTO MAX EXTRA",147,"2012-07-13",26,41,46,81
"LOTTO MAX EXTRA",148,"2012-07-20",29,43,45,76
"LOTTO MAX EXTRA",149,"2012-07-27",9,43,84,93
"LOTTO MAX EXTRA",150,"2012-08-03",19,63,92,95
"LOTTO MAX EXTRA",151,"2012-08-10",2,9,17,62
"LOTTO MAX EXTRA",152,"2012-08-17",7,46,49,76
"LOTTO MAX EXTRA",153,"2012-08-24",2,14,50,73
"LOTTO MAX EXTRA",154,"2012-08-31",33,48,55,95
"LOTTO MAX EXTRA",155,"2012-09-07",43,53,73,79
"LOTTO MAX EXTRA",156,"2012-09-14",7,18,73,74
"LOTTO MAX EXTRA",157,"2012-09-21",25,37,73,98
"LOTTO MAX EXTRA",158,"2012-09-28",34,48,82,90
"LOTTO MAX EXTRA",159,"2012-10-05",1,68,77,98
"LOTTO MAX EXTRA",160,"2012-10-12",10,15,51,58
"LOTTO MAX EXTRA",161,"2012-10-19",1,19,37,60
"LOTTO MAX EXTRA",162,"2012-10-26",49,74,83,85
"LOTTO MAX EXTRA",163,"2012-11-02",1,9,28,96
"LOTTO MAX EXTRA",164,"2012-11-09",35,56,57,74
"LOTTO MAX EXTRA",165,"2012-11-16",7,15,18,59
"LOTTO MAX EXTRA",166,"2012-11-23",1,64,66,96
"LOTTO MAX EXTRA",167,"2012-11-30",11,28,66,93
"LOTTO MAX EXTRA",168,"2012-12-07",10,86,89,94
"LOTTO MAX EXTRA",169,"2012-12-14",5,15,24,96
"LOTTO MAX EXTRA",170,"2012-12-21",3,4,69,74
